date,time,name,original_poster
2022-10-09,08:30,douwe,NA
2022-10-09,08:30,batman,emre
2022-10-09,08:30,yokiq,faithrbxs
2022-10-09,08:30,bruce,wall
2022-10-09,08:30,reasonus,NA
2022-10-09,08:30,asheru,wall
2022-10-09,08:30,divya,sanatan
2022-10-09,08:30,dameniste,ill
2022-10-09,08:30,sallyg,president
2022-10-09,08:30,emil,NA
2022-10-09,08:30,mrswoodentop,NA
2022-10-09,08:30,bigdaddydustin,lauren
2022-10-09,08:30,tom,ravinder
2022-10-09,08:30,sophy,sophy
2022-10-09,08:30,daniel,NA
2022-10-09,08:30,kusay,emre
2022-10-09,08:30,kate,koulla
2022-10-09,08:30,raybarronwoolfordfrsa,feeding
2022-10-09,08:30,sandieshoes,NA
2022-10-09,08:30,sean,NA
2022-10-09,08:30,femi,joe
2022-10-09,08:30,itstimetospeakthetruth,joe
2022-10-09,08:30,applecrumblefbpefollowbackfriday,michelle
2022-10-09,08:30,atirbxs,amirrbxs
2022-10-09,08:30,todays,NA
2022-10-09,08:30,diane,NA
2022-10-09,08:30,mukesh,prashant
2022-10-09,08:30,natalie,NA
2022-10-09,08:30,pops,NA
2022-10-09,08:30,loveisabella,NA
2022-10-09,08:30,the,olumide
2022-10-09,08:30,polly,NA
2022-10-09,08:30,paul,NA
2022-10-09,08:30,douglas,NA
2022-10-09,08:30,batuhan,emre
2022-10-09,08:30,cthelite,joe
2022-10-09,08:30,cyrusqne,sandieshoes
2022-10-09,08:30,estrella,brian
2022-10-09,08:30,prakash,prashant
2022-10-09,08:30,mcemalnas,emre
2022-10-09,08:30,akleom,NA
2022-10-09,08:30,alex,NA
2022-10-09,08:30,frank,joe
2022-10-09,08:30,steve,sophy
2022-10-09,08:30,itsevers,NA
2022-10-09,08:30,steven,NA
2022-10-09,08:30,yolandaelizabetdwarsdenker,lyn
2022-10-09,08:30,geoff,NA
2022-10-09,08:30,trevor,rachel
2022-10-09,08:30,andrew,NA
2022-10-09,08:30,lisa,elaine
2022-10-09,08:30,dcharliejp,NA
2022-10-09,08:30,julian,left
2022-10-09,08:30,emyluv,provee
2022-10-09,08:30,sman,phony
2022-10-09,08:30,pat,truetruth
2022-10-09,08:30,larry,paul
2022-10-09,08:40,sajid,NA
2022-10-09,08:40,boguntoye,mayor
2022-10-09,08:40,lloydy,NA
2022-10-09,08:40,etienorbxs,NA
2022-10-09,08:40,genex,NA
2022-10-09,08:40,tracey,NA
2022-10-09,08:40,shirley,NA
2022-10-09,08:40,bud,NA
2022-10-09,08:40,sai,NA
2022-10-09,08:40,deb,joe
2022-10-09,08:40,julie,senator
2022-10-09,08:40,babs,support
2022-10-09,08:40,marked,joe
2022-10-09,08:40,inderjeet,NA
2022-10-09,08:40,chris,best
2022-10-09,08:40,sabrina,joe
2022-10-09,08:40,deepak,the
2022-10-09,08:40,cyn,nuon
2022-10-09,08:40,dystopian,NA
2022-10-09,08:40,daniel,NA
2022-10-09,08:40,adawg,NA
2022-10-09,08:40,martin,tansu
2022-10-09,08:40,defending,NA
2022-10-09,08:40,stevejat,NA
2022-10-09,08:40,tyakaa,NA
2022-10-09,08:40,grumpyhobbit,sandieshoes
2022-10-09,08:40,fsualum,NA
2022-10-09,08:40,lynnelwhite,paul
2022-10-09,08:40,acanadianfordemocracy,gil
2022-10-09,08:40,harriet,simon
2022-10-09,08:40,correll,NA
2022-10-09,08:40,demiurge,NA
2022-10-09,08:40,lisalisa,NA
2022-10-09,08:40,jack,NA
2022-10-09,08:40,nathan,NA
2022-10-09,08:40,francesca,john
2022-10-09,08:40,cheri,NA
2022-10-09,08:40,don,NA
2022-10-09,08:40,captainscio,NA
2022-10-09,08:40,captainscio,NA
2022-10-09,08:40,cindy,NA
2022-10-09,08:40,boudica,sandieshoes
2022-10-09,08:40,ryan,NA
2022-10-09,08:40,mark,polly
2022-10-09,08:40,lynne,NA
2022-10-09,08:40,sherry,joe
